Month,Seoul_amount_grade,Seoul_allpay_grade,Seoul_pay_grade,Busan_amount_grade,Busan_allpay_grade,Busan_pay_grade,Daegu_amount_grade,Daegu_allpay_grade,Daegu_pay_grade,Daejeon_amount_grade,Daejeon_allpay_grade,Daejeon_pay_grade,Gwangju_amount_grade,Gwangju_allpay_grade,Gwangju_pay_grade
2020-12,-643905.3900000006,2251251300,883.6079218390264,-32155.900000000023,257476875,727.483762345448,91536.0,644881900,546.715628892674,-53569.0,212795455,643.1081018410948,-31219.0,330330250,747.7916109875216
2021-01,-1077059.9099999992,1225419400,1479.3447550737005,-143290.09999999998,90825438,1556.7584156428115,-95795.0,633425600,925.4090460496323,-147477.0,193611700,1651.3033159862443,-77259.0,428902800,1409.8021607762626
2021-02,269146.51999999955,-250470850,-456.8992543153413,49099.79999999999,-22444920,-656.2094752729945,55251.0,-133703400,-307.2735340085951,49208.0,-18432700,-573.5450463601214,12568.0,-141939080,-427.66351829484256
2021-03,902200.54,471703400,-689.35777239963,116581.20000000001,209877870,-412.7388930068264,196738.0,216946800,-232.25610521244016,117370.0,156597000,-458.1172171262806,206748.0,302346180,-558.6577335775482
2021-04,1512404.7800000003,-1376178170,-1035.70708721548,175348.39999999997,-236602400,-1209.2870533882497,388968.0,-437644300,-854.1889592254909,27008.0,-433888000,-1018.6947692040856,95135.0,-521364260,-1044.136737661518
2021-05,-321725.71999999974,-26433510,101.10395357767356,-39971.69999999995,-51829700,33.3706445780831,-52616.0,-41884900,19.713233711179328,-68304.0,-87082250,66.84260495182866,-32715.0,-31769920,29.233928572509967
2021-06,-84290.0,-1088303320,-196.86091650862204,-86874.40000000002,-180858950,-44.63928127258805,9084.0,-41919600,-36.953311973970585,-18911.0,-117833043,-205.7858290487561,-54390.0,-199469665,-169.33760295553975
2021-07,-148899.05000000075,-3156029800,-630.8010241797838,250270.90000000002,-135671200,-770.2994670191422,73458.0,-871765800,-628.1528487866929,24856.0,-253429117,-670.7233120038557,-95587.0,-479967375,-609.5745140632379
2021-08,-887792.1299999994,2278802140,816.5410707855831,-203463.20000000007,302829600,922.742685318773,-444480.0,557662400,790.0704328570548,-157507.0,128879658,965.3261467401298,-124129.0,377114740,1113.80541667425
2021-09,831412.3299999996,3394401790,430.8508921658347,-15175.199999999953,359960100,727.1905489046037,132865.0,752713200,450.7776096745504,129103.0,437357023,487.3088555492161,24048.0,297891600,547.3337045263359
2021-10,-958387.0999999996,-1698172720,96.09568543969726,-106828.20000000001,-222349300,143.77828677953994,-434530.0,-757416382,106.66030111458122,-97061.0,-250212671,-75.01014350569767,-69704.0,-222046880,-120.41676225787478
2021-11,-28914.87000000011,546467090,169.68051944138733,-13383.5,-45815200,-20.037176390549575,135577.0,297242782,21.39536270011581,50000.0,187679400,206.95710902018027,34303.0,132599910,119.44733807561352
2021-12,-1505612.31,-1867048110,834.6740441385937,-152595.39999999997,-332683400,349.7438229382833,-306339.0,-387689100,392.0592544119854,-111552.0,-160946800,461.20553102342456,-125845.0,-142407610,586.6840593209381
2022-01,730778.94,4278899460,677.2187040034314,140689.39999999997,835936900,980.6238124095648,286373.0,1074267000,405.70643376781845,83978.0,567821300,967.408364077296,101011.0,606896701,738.6908102612697
2022-02,-150441.73999999976,-3482781950,-1081.6222004549923,21306.600000000035,-482954000,-1344.1512033924978,56854.0,-793787300,-987.0402193127586,-5408.0,-401874600,-1164.2310142806505,-16170.0,-507233451,-1167.152473469097
2022-03,1102877.8000000007,2635193130,-129.16641736389784,68983.69999999995,184392400,-13.281933099012804,340962.0,917450500,211.66903851965412,108168.0,264749200,-71.33400507975057,222481.0,613459280,31.3123203356281
2022-04,1555446.5999999992,-1495681750,-1068.5601566242108,192018.30000000005,-120807150,-947.8869105263975,125420.0,-801628200,-740.9112122558977,109152.0,-223110000,-943.8225936530926,152780.0,-420947090,-1102.2349931670735
2022-05,129513.9299999997,-1442519180,-302.76881711234273,94304.49999999988,-172630850,-439.89127037232083,387803.0,26636100,-272.1258909110377,61878.0,-113583000,-362.8388396196233,123778.0,-113972030,-354.591781897248
