Month,Seoul_amount_grade,Seoul_allpay_grade,Seoul_pay_grade,Busan_amount_grade,Busan_allpay_grade,Busan_pay_grade,Daegu_amount_grade,Daegu_allpay_grade,Daegu_pay_grade,Daejeon_amount_grade,Daejeon_allpay_grade,Daejeon_pay_grade,Gwangju_amount_grade,Gwangju_allpay_grade,Gwangju_pay_grade
2021-04,-1047087.0,-8841774270,-608.2421586820665,-41753.60000000009,-940438992,-670.1943590778847,-236505.40000000002,-1142665190,-639.20985400362,-142127.0,-1400950700,-809.3432919054094,-4007.0,-464704480,-857.0911737641654
2021-05,1071626.4000000004,-10134222070,-1747.3697272100976,-25125.19999999972,-1336315780,-1103.602104284289,128079.40000000002,-313640800,-1464.1274522855056,159974.0,-1296154390,-1624.8836467841836,123795.0,-295056900,-1011.9729829688854
2021-06,-413683.0,-9424648340,-1118.079677121952,8224.899999999907,-1273842890,-1125.6027419739073,-5176.0,-393307350,-785.6314733710485,-124429.0,-1273350560,-1028.336071872052,-25406.0,-593026050,-874.3126208837723
2021-07,-1233177.4000000004,-1863480570,-119.22253673275577,204008.59999999986,-8197270,-148.7760054868544,-20553.0,-121206150,-216.8666394321665,-11312.0,-134694260,-124.99537104696765,-76328.0,-154584950,-138.9510827829322
2021-08,229174.2000000002,2590409710,361.25708074556223,-51714.5,318710900,277.0207853550136,20532.5,183416900,344.08698519905056,-125801.0,392496420,546.3335765600741,72295.5,278237000,345.45589184237815
2021-09,759241.7999999998,2436119845,212.13027225904852,138642.50000000023,538928230,271.3517275058473,-10937.099999999977,72994250,177.33368111667687,191665.0,591376760,330.97480834255725,213131.5,399952500,163.90094984183224
2021-10,587016.4000000004,-210182085,-124.23267854298115,86146.59999999986,-68119620,-120.70677448279957,52199.59999999998,6004050,-112.39593733691981,101720.0,-186607540,-295.64819091817367,-140572.0,-244980550,-69.55437999891205
2021-11,422944.0,1816710546,154.0307667020004,-76454.19999999995,73582260,115.47753840079145,87711.0,116456650,25.969761473050994,61896.0,119547580,33.001945850880475,31256.5,102758000,84.6164953900286
2021-12,-2171675.4000000004,-4688391816,-272.38312193101115,-462462.6000000001,-786983210,-170.15943599935827,67625.0,25075550,-78.87977313668671,-320468.0,-663188610,-267.7409126083114,-178200.5,-381557890,-237.4295742953684
2022-01,3364598.4000000004,4453574400,78.4663423442953,835392.8,1070218770,51.37668252998628,173937.0,220056700,35.072602987732125,570321.0,774435440,122.5588648325579,305731.0,432338590,84.81489020078607
2022-02,-2213041.6000000006,-2847581350,-32.61846512900456,-531068.2,-731753640,-64.82077396308205,-185920.5,-207096950,3.580713600635818,-324237.0,-386646000,-8.59260351296939,-236126.0,-303931350,-9.266878283110827
2022-03,2232682.1000000006,4352473150,185.9290134192422,314917.5,733475910,230.34396868716362,94719.0,231949650,162.49299119921625,395635.0,621497060,106.31948276798516,225216.0,399447750,139.48403762672547
2022-04,-1048037.8000000007,-4408603060,-349.79184992808086,-94104.6000000001,-754514290,-413.2627592577161,-121376.0,-392660200,-364.27574521898555,-258284.0,-625500340,-231.61577940292295,-120603.0,-402758270,-326.5807673329284
2022-05,-389912.5999999996,1836715750,269.7270779445157,-28315.800000000047,389314320,281.31650600004707,-274331.5,-181246250,197.21692453481523,5135.0,614493850,468.1909399458739,79191.59999999998,369341670,357.0105828069304
2022-06,22284.700000000186,1025375100,120.91764425134511,-90516.09999999986,-25592620,63.19504983512252,42220.90000000002,126674300,190.69388610527608,-50488.0,-20079780,44.33753194047722,3211.4000000000233,81250920,95.71228021490242
2022-07,126884.79999999981,1622490600,172.92527259878057,-125301.5,108862090,216.36727122522575,-13637.900000000023,2597300,51.20742097301854,-184367.5,-159348740,116.89629496860698,-44967.0,-23248270,59.609815066914734
2022-08,901877.4000000004,2310826220,98.95028801085368,162468.69999999995,691665850,309.7686170756508,15969.140000000014,140510250,284.3485051896091,69955.5,396144000,246.592649566747,30994.0,289236650,305.26769300807246
2022-09,-535399.8000000007,-933357260,-6.128302737323793,79108.49999999977,40590010,-69.80793111568255,138213.45999999996,299737750,128.5034740267763,127454.0,51512890,-151.25178994289627,109129.0,67323590,-154.31011933183186
2022-10,271778.5999999996,119527220,-36.09669158333509,87854.6000000001,-70223960,-141.68250023908672,60881.40000000002,-13526450,-197.80868868497078,3179.0,-89814950,-75.28868331211333,-21613.0,65015160,117.07714756328232
2022-11,234976.80000000075,-362840290,-79.89915333696536,56686.79000000004,-242636140,-202.8581245557334,-63608.0,-219562500,-215.04586782019624,51198.0,-202572025,-218.83021325374943,23205.0,-153267650,-218.4335791337403
2022-12,510455.80000000075,1928228030,118.0090885714344,68358.41000000015,213782710,67.47737007332398,221363.0,387720900,109.71926769966103,56326.0,169766865,63.74367378970123,9292.0,13269750,-2.0541086236189585
2023-01,-348197.80000000075,-2765590950,-233.20109126110924,-172788.7000000002,-144956300,73.42031614775101,-1803.0,-82984850,-103.99156348364022,52896.0,111811590,21.92109316177357,112410.0,192026910,9.007498679971832
2023-02,72828.0,2389930490,241.1822470607858,-17696.199999999953,259500500,187.76788280704682,39188.0,188339500,165.74610222152705,-953.0,492436350,346.25898241454865,-99863.0,-11887610,164.6645520918173
2023-03,1869713.0,2908095620,-15.102334917303097,24885.600000000093,84926100,26.486725388045215,42716.09999999998,-19701400,-100.02863203342372,171709.0,18558940,-191.50551480847435,56735.0,80536800,-22.120749008790654
2023-04,-1786140.0,-8178462570,-550.100822416382,-187158.19999999995,-822783250,-357.4200022564528,-294058.5,-674728800,-448.94369846516304,-257604.0,-1055942940,-461.2303133884575,-173679.0,-793566000,-603.8293278740744
2023-05,-440627.0,4441358660,538.8096661124666,491.29999999981374,447850130,326.81337944760685,-65958.0,86213300,306.57742392955777,111074.0,517739840,261.96191512787414,64789.0,403496900,377.3933947731041
2023-06,-531765.0,-2930817610,-240.69563631270353,-106257.83000000007,-521337850,-265.463071359987,-60390.19999999995,-125718200,-109.24769125980515,-116943.0,-372135170,-147.42322286814442,-4747.0,-101313550,-108.8839553068567
2023-07,-507331.5,326562780,126.92972495021945,-69603.23999999976,333704940,366.7433169986434,31991.599999999977,103505500,140.62262267910978,-187977.0,-40778770,186.1164829245431,-98715.0,5620000,193.75029381900913
2023-08,-6025566.5,-8827378180,122.48970934952604,-921152.43,-1700016990,31.83240801616398,-337191.0,-413520200,266.961840065886,-907449.0,-1234578980,674.7546562765226,-586489.0,-849805050,619.3881475956482
