Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역,작물명
2020-05-01,3460.0,3405100,984.1329479768788,529.2603776982912,대전,오이
2020-06-01,13240.0,14022950,1059.1351963746224,333.19248723750366,대전,오이
2020-07-01,21815.0,20739076,950.6796241118496,657.6412825198043,대전,오이
2020-08-01,33880.0,60202545,1776.934622195986,33.82737903715429,대전,오이
2020-09-01,33230.0,69978050,2105.869696057779,-817.3773326405374,대전,오이
2020-10-01,13760.0,10961300,796.6061046511628,426.0734071214463,대전,오이
2020-11-01,70.0,75200,1074.2857142857142,463.7986384528463,대전,오이
2020-12-01,2720.0,6091100,2239.375,-139.4317940985825,대전,오이
2021-01-01,2020.0,6441300,3188.762376237624,-367.8155537873031,대전,오이
2021-02-01,2890.0,6406500,2216.782006920416,-2237.3361017325087,대전,오이
2021-03-01,3360.0,6902000,2054.1666666666665,-1429.875427575205,대전,오이
2021-04-01,8090.0,11232200,1388.4054388133495,-669.3135364118434,대전,오이
2021-05-01,7940.0,11174500,1407.367758186398,-518.6243230009873,대전,오이
2021-06-01,24420.0,26258820,1075.2997542997543,-83.38208591304328,대전,오이
2021-07-01,61650.0,57407850,931.1897810218978,365.06224873636506,대전,오이
2021-08-01,59917.0,67585700,1127.9887177261878,115.7147514981873,대전,오이
2021-09-01,58055.0,91121608,1569.573817931272,-314.5852141585442,대전,오이
2021-10-01,12740.0,16840500,1321.8602825745684,-1140.6807705245735,대전,오이
2021-11-01,2380.0,6039700,2537.6890756302523,-1831.2230806753528,대전,오이
2021-12-01,0.0,0,0.0,-860.6954767325085,대전,오이
2022-01-01,800.0,2559400,3199.25,-914.9760538637169,대전,오이
2022-02-01,460.0,1173400,2550.8695652173915,-228.1219080095707,대전,오이
2022-03-01,960.0,2264200,2358.5416666666665,-846.6103757816688,대전,오이
2022-04-01,3330.0,5209300,1564.3543543543544,-49.34398449543869,대전,오이
2022-05-01,4360.0,5109100,1171.8119266055046,465.7833622549974,대전,오이
2022-06-01,33150.0,51089000,1541.1463046757165,127.69554078901024,대전,오이
2022-07-01,39150.0,93915600,2398.8659003831417,-857.3688029333309,대전,오이
2022-08-01,69109.5,133859065,1936.9126531084728,-525.2561462572778,대전,오이
2022-09-01,87216.0,116235666,1332.7332828838746,-459.9286263813808,대전,오이
2022-10-01,33898.0,43221650,1275.050150451354,64.05179283896814,대전,오이
2022-11-01,3280.0,3787500,1154.7256097560976,321.9147024388044,대전,오이
2022-12-01,980.0,2726600,2782.244897959184,-662.7655212770371,대전,오이
2023-01-01,0.0,0,0.0,1334.9441262629282,대전,오이
2023-02-01,570.0,2740600,4808.070175438596,-2565.055873737072,대전,오이
2023-03-01,2690.0,7632800,2837.472118959108,-1866.8740555552536,대전,오이
2023-04-01,3600.0,6820000,1894.4444444444443,-1163.316500135282,대전,오이
2023-05-01,12510.0,14914800,1192.230215827338,-647.9499788317637,대전,오이
2023-06-01,38660.0,37119073,960.14156751164,-42.793565531601416,대전,오이
2023-07-01,47352.5,71571105,1511.4535663375746,14.648671262227026,대전,오이
2023-08-01,20070.0,26673700,1329.0333831589437,94.597843245773,대전,오이
2020-01-01,3760.0,11296800,3004.468085106383,-1697.0635377440558,광주,오이
2020-02-01,6250.0,16238900,2598.224,-1290.8194526376728,광주,오이
2020-03-01,11010.0,21872200,1986.5758401453224,-679.1712927829951,광주,오이
2020-04-01,19990.0,26046300,1302.9664832416208,4.4380641207064855,광주,오이
2020-05-01,16270.0,15969726,981.5443146896127,325.8602326727146,광주,오이
2020-06-01,46210.0,54417460,1177.6122051504003,129.792342211927,광주,오이
2020-07-01,81880.0,69857020,853.1634098680996,454.2411374942277,광주,오이
2020-08-01,72730.0,107420560,1476.9773133507497,-169.57276598842236,광주,오이
2020-09-01,26370.0,61394160,2328.1820250284413,-1020.777477666114,광주,오이
2020-10-01,39875.0,43253660,1084.7312852664577,222.67326209586963,광주,오이
2020-11-01,18170.0,19024100,1047.0060539350577,260.3984934272696,광주,오이
2020-12-01,2960.0,4884700,1650.2364864864865,-342.83193912415913,광주,오이
2021-01-01,1460.0,2380500,1630.4794520547946,-185.01143684041017,광주,오이
2021-02-01,60.0,210000,3500.0,-2054.531984785616,광주,오이
2021-03-01,4450.0,11981800,2692.5393258426966,-1247.0713106283122,광주,오이
2021-04-01,16840.0,32534500,1931.977434679335,-486.5094194649505,광주,오이
2021-05-01,20970.0,37353614,1781.2882212684788,-335.82020605409434,광주,오이
2021-06-01,35273.0,47479080,1346.0459841805348,99.42203103384963,광주,오이
2021-07-01,88510.0,79446722,897.6016495311264,547.866365683258,광주,오이
2021-08-01,88077.0,101019840,1146.9491467693042,298.5188684450802,광주,오이
2021-09-01,33800.0,53311020,1577.2491124260357,-131.78109721165129,광주,오이
2021-10-01,28230.0,67846420,2403.344668792065,-957.8766535776806,광주,오이
2021-11-01,13962.0,43196850,3093.886978942845,-1648.4189637284603,광주,오이
2021-12-01,3840.0,8153700,2123.359375,-677.8913597856156,광주,오이
2022-01-01,1540.0,3975700,2581.6233766233768,-611.4453180230978,광주,오이
2022-02-01,2600.0,4926400,1894.7692307692307,75.40882783104826,광주,오이
2022-03-01,6170.0,15506800,2513.257698541329,-543.0796399410499,광주,오이
2022-04-01,29910.0,51325300,1715.9913072550987,254.18675134518023,광주,오이
2022-05-01,36460.0,43783500,1200.8639605046626,769.3140980956164,광주,오이
2022-06-01,38160.0,58726400,1538.9517819706498,431.2262766296292,광주,오이
2022-07-01,86942.0,219443010,2524.016125692991,-553.838067092712,광주,오이
2022-08-01,95762.0,209901060,2191.903469016938,-221.7254104166589,광주,오이
2022-09-01,55998.0,119084000,2126.575949141041,-156.39789054076186,광주,오이
2022-10-01,55480.0,88912000,1602.595529920692,367.5825286795871,광주,오이
2022-11-01,18700.0,25146500,1344.7326203208556,625.4454382794233,광주,오이
2022-12-01,5450.0,12695300,2329.412844036697,-359.2347854364182,광주,오이
2023-01-01,0.0,0,0.0,1517.709928156752,광주,오이
2023-02-01,460.0,1794000,3900.0,-2382.2900718432484,광주,오이
2023-03-01,660.0,2113200,3201.818181818182,-1684.10825366143,광주,오이
2023-04-01,17880.0,44668900,2498.26062639821,-980.5506982414583,광주,오이
2023-05-01,37490.0,74338700,1982.894105094692,-465.18417693794,광주,오이
2023-06-01,37475.0,51630720,1377.7376917945296,139.97223636222225,광주,오이
2023-07-01,99846.0,131826220,1320.2954550007012,197.4144731560507,광주,오이
2023-08-01,44068.0,54659580,1240.3462830171552,277.36364513959666,광주,오이
2020-01-01,961927.0,3377621650,3511.3076667980004,-2041.3914842019728,전국,오이
2020-02-01,1128905.4,3326847580,2946.9675492738365,-1477.051366677809,전국,오이
2020-03-01,2389435.0,3915797042,1638.796218352874,-168.88003575684638,전국,오이
2020-04-01,3512016.0,3961448000,1127.9698042377938,341.9463783582337,전국,오이
2020-05-01,3773569.4,3906131826,1035.1291872358304,434.7869953601971,전국,오이
2020-06-01,4350551.0,4561778295,1048.5518489497078,421.36433364631966,전국,오이
2020-07-01,3860872.9,4142738356,1073.0056293746422,396.91055322138527,전국,오이
2020-08-01,3987240.6,7648971037,1918.362046423785,-448.4458638277574,전국,오이
2020-09-01,3175303.7,6580689254,2072.459794633188,-602.5436120371603,전국,오이
2020-10-01,2941542.8,2560036140,870.3038895099538,599.6122930860737,전국,오이
2020-11-01,1819586.6,2214781208,1217.1892274871666,252.7269551088609,전국,오이
2020-12-01,1257175.1,2542824869,2022.64972397242,-552.7335413763924,전국,오이
2021-01-01,831354.0,2937974100,3533.962788415044,-1920.4335804748207,전국,오이
2021-02-01,971661.9,2847251315,2930.2901708917475,-1316.7609629515246,전국,오이
2021-03-01,1998535.5,4382143840,2192.67750810531,-579.1483001650872,전국,오이
2021-04-01,2953004.0,4499639960,1523.7500389433949,89.77916899682805,전국,오이
