Date,서울 총거래물량,서울 총거래금액,서울 평균거래금액,부산 총거래물량,부산 총거래금액,부산 평균거래금액,대구 총거래물량,대구 총거래금액,대구 평균거래금액,대전 총거래물량,대전 총거래금액,대전 평균거래금액,광주 총거래물량,광주 총거래금액,광주 평균거래금액
2020-11,726494.0,857726100,1180.63755516219,1204207.5,1300287900,1079.7872459688217,2960735.5,3191115000,1077.8115775623996,3515196.0,3968459200,1128.9439337095287,532759.0,569894300,1069.7037497254855
2020-12,612715.0,724541200,1182.5093232579584,1202874.5,1350003020,1122.3141067501224,2907084.4,3162763700,1087.950422079249,2785443.0,3115211700,1118.3900370605322,845840.0,932240000,1102.1469781518963
2021-01,521879.0,822796200,1576.6033889081568,929656.0,1336836100,1437.9900737477087,2247511.1,3399847400,1512.7166224006635,2343256.0,3565849500,1521.7498642913963,690580.0,980208400,1419.3987662544528
2021-02,351818.0,623866800,1773.2657226179444,755296.0,1242097200,1644.5171164682456,2257408.6999999997,3834908500,1698.810011674005,1737419.0,3041920100,1750.8270025825664,617715.0,963472200,1559.7358004905175
2021-03,1945804.0,2623923710,1348.5036057074608,661167.2,948880750,1435.1600472618727,3044932.5,4622783900,1518.1892866262224,2439082.5,3707964750,1520.2293280362596,1575371.0,1888773100,1198.9385992251985
2021-04,14523344.0,12452281159,857.3976598640093,279887.8,196434770,701.8339849039509,728366.0,520110560,714.0785813725518,4722515.0,3787219700,801.949744998163,2628125.0,1905337660,724.9798468489893
2021-05,12948438.0,7098404462,548.205464010408,768062.0,365311350,475.6274233069726,193373.0,98795200,510.9048315948969,5510565.0,2890502400,524.5383005190938,1963522.0,1001135800,509.8673709792913
2021-06,797383.5,573549057,719.2888453297567,708322.0,338739500,478.22812223819113,3775422.0000000005,1739275100,460.68362688992113,4030881.5,2113373000,524.2954921894876,1273404.0,667346880,524.0653241233732
2021-07,569891.7,470523417,825.636549891848,1288542.0,681556700,528.9363482137176,3736560.0000000005,1831847200,490.24964138137744,3025009.5,1617749800,534.7916428031052,368736.0,193732600,525.3964896294368
2021-08,624538.4,626516843,1003.1678484461484,1345408.0,912562900,678.2796742698126,2897080.2,1829727300,631.576336754502,2964676.0,2159050040,728.2583459372963,438778.0,281346500,641.2046638619074
2021-09,858831.2,930574331,1083.5357762969022,1234016.0,996077930,807.1839668205274,2670273.5999999996,2054912300,769.5512175231783,2720970.0,2228189125,818.895145848723,698275.0,525402400,752.4290573198239
2021-10,682892.8,743638258,1088.9531387649715,1212757.0,958038500,789.9674048469726,3223972.3,2483517700,770.3284857627344,3172462.0,2644086610,833.4494187794842,597873.0,437501400,731.7631001901742
2021-11,734016.8,817446105,1113.6613017576708,1176552.0,914646000,777.3953042449463,3864607.9,2880747200,745.4177175386926,3896148.0,3072026600,788.4779017634854,550753.0,433900900,787.8321134882606
2021-12,479661.39999999997,502864273,1048.3734421823394,624220.0,398787500,638.8572939027907,2435936.5,1380380400,566.6733923482817,2550841.0,1636988367,641.7445724762931,492017.0,324654200,659.8434606934313
2022-01,554212.0,404150622,729.2347008004157,1675200.0,903436700,539.300799904489,4018571.9,1845401000,459.2181117874238,3605899.0,1844142200,511.4236976687367,1172827.0,606987600,517.5423144248896
2022-02,681493.0,446578247,655.2939604662117,1166486.0,472535300,405.09298868567646,3764584.2,1300104500,345.35142021793536,2765639.0,1111762660,401.9912432533675,720011.0,322745800,448.25120727322224
2022-03,1089965.2,721104190,661.5845992147273,1474692.0,456234000,309.375788300201,6176011.3,1543838080,249.97332501642282,4186164.0,1290384588,308.2498889197843,1448787.0,687720400,474.68703128893344
2022-04,9478396.0,5559533618,586.5479368028092,503553.4,170953710,339.4946990726306,4136933.9,1717492020,415.1606144831079,3579915.0,1577995981,440.7914659984944,2313763.8,1154388700,498.92244835017306
2022-05,12833453.600000001,6805685476,530.3081842287565,347183.8,232206200,668.8278658163198,3277520.5,1876707900,572.5998967817287,3891725.0,2105255799,540.9569789746192,2213964.0,1098517000,496.1765412626402
2022-06,902102.6,1013885385,1123.9136047274446,1849438.0,1748019600,945.1625845256775,5908156.5,5294131200,896.0715918747244,4217625.0,4238314228,1004.9054214160814,2089036.5,1712938704,819.9659048561382
2022-07,745084.1,924896830,1241.3321261318017,1177002.9,1233083700,1047.6471213452405,3459955.9000000004,3712494300,1072.9889071707532,2472810.0,2783431800,1125.6149077365426,551926.0,553676500,1003.1716208332276
2022-08,619744.6,812535552,1311.081293810386,1222928.0,1425984300,1166.0410915442283,3057455.0,3492631800,1142.333018801585,3107494.0,3590670520,1155.4875150201417,480430.0,575703200,1198.308182253398
2022-09,625875.3,903308171,1443.271800309103,989368.0,1244557260,1257.9315886505324,2547354.7,2941751000,1154.8258277498614,2564586.0,3267469100,1274.0727353264815,282074.0,336987800,1194.6787013336925
2022-10,653065.7999999999,1027635583,1573.5559617422932,1169772.0,1536102500,1313.1640182873243,1863559.4,2392707400,1283.9447993983986,2193818.0,2883024450,1314.1584443194467,434936.4,530707200,1220.1949526413516
2022-11,611673.4,946904745,1548.0561113169217,1083313.5,1416027430,1307.1261735407156,2387673.5,3127018400,1309.6507541755605,2866767.0,3676600850,1282.4902930723006,452654.0,597896200,1320.8680360717015
2022-12,691443.1,1144166766,1654.7518747385,1019050.0,1311140800,1286.6304891811,2482025.0,3089882200,1244.9037378753235,2212655.0,2752686400,1244.0648903692622,472720.0,624335900,1320.730876628871
2023-01,386120.8,555729363,1439.2629534591247,790780.0,976412800,1234.746452869319,1910237.0,2211694000,1157.81130823034,1902948.0,2352984400,1236.4943235443113,526705.0,641704300,1218.337209633476
2023-02,582112.8,948151679,1628.8109091571255,796796.5,1044297400,1310.6199638176122,2058188.0,2606771900,1266.537313403829,2072374.0,2826128800,1363.7156227592125,421641.0,560721800,1329.8559675173904
2023-03,1774989.4,2309334967,1301.0415538256173,873448.6,1108022810,1268.5609777152313,2741209.6,3416548800,1246.365400150357,2369876.0,3054423910,1288.8538936214384,1095213.5,1262576780,1152.8133829614044
2023-04,8350806.4,9295434408,1113.1181783833474,81980.6,74042580,903.1719699538671,3540027.5999999996,4043867400,1142.3265174542707,3759014.0,4141226230,1101.6788524863168,2386697.0,2371042100,993.4407677220862
2023-05,7449548.1,7943634387,1066.3243300623833,1339554.0,1408339100,1051.3492550505616,5643002.0,6280945100,1113.0503054934236,4742823.0,5000998880,1054.4350653608622,2428287.0,2231914500,919.1312641380529
2023-06,799180.3,1017171085,1272.767966127293,2043407.0,1634258000,799.771166488125,7065024.3,5618828600,795.3020911761054,4040330.0,3905283800,966.5754529951762,2215334.0,1778952500,803.0177390858444
2023-07,555777.4,698029261,1255.9511433894218,1155832.0,1023410400,885.4317928557091,3290949.4,2851011000,866.3186981847853,2496337.0,2534741100,1015.3841809018573,699448.0,657746600,940.3795564502293
2023-08,40878.0,52174950,1276.35769851754,259857.1,254227800,978.3369398026838,436725.0,432593100,990.5388974755281,574548.0,584066200,1016.5664139462673,101906.0,93609400,918.5857555001668
