Date,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가
2022-02,2593928.0,2023824400,780.2161046875626,204317.0,177519370,868.8428765105205,348980.0,265589000,761.0436128144879,262210.0,210279100,801.9492010220815,173680.0,136698500,787.0710502072777
2022-03,2439930.0,2270229000,930.4484145036948,168409.0,162704184,966.1252308368317,327220.0,273427000,835.6060143023043,234760.0,236798740,1008.6843584937809,251100.0,210144900,836.8972520908005
2022-04,2151608.0,2914561800,1354.5970269677375,145000.4,188674386,1301.1990725542826,497520.0,588200300,1182.2646325775847,194680.0,278681200,1431.4834600369838,214230.0,274221900,1280.0350091023665
2022-05,2479514.0,3285554850,1325.0801770024286,275161.6,342969652,1246.4299233613995,595979.0,784233400,1315.8742170445603,285016.0,419615880,1472.253768209504,223800.0,336047300,1501.5518319928508
2022-06,2166804.0,3075680400,1419.454828401646,312028.2,404063895,1294.9595421183085,406975.0,594611700,1461.0521530806561,247680.0,386329700,1559.7936854005168,206940.0,321478600,1553.48700106311
2022-07,1795974.0,2743532950,1527.601708042544,142545.0,214280999,1503.2515977410642,343965.0,525799500,1528.6424490863897,251120.0,417340800,1661.9178082191781,195960.0,319410250,1629.9767809757093
2022-08,2049340.0,3697632900,1804.3042638117638,135468.6,225862970,1667.271751535042,327840.0,540369600,1648.272327964861,257100.0,505498200,1966.1540256709452,111740.0,212371200,1900.5834974046895
2022-09,2064535.0,5198973400,2518.2297224314434,131040.3,297244825,2268.346646031793,310225.0,681133500,2195.6112498992666,240977.0,637362800,2644.9113400863985,130430.0,351031000,2691.336348999463
2022-10,1737517.0,4037981200,2323.9952184640497,208603.1,392468752,1881.4138044928382,454560.0,869660500,1913.1918778599086,301580.0,668358900,2216.1910604151467,212670.0,443726700,2086.4564818733247
2022-11,1785505.0,2745544500,1537.685136698021,177406.5,245205729,1382.1687987756932,398380.0,527180500,1323.3106581655707,299589.0,414442000,1383.3685482444282,261692.0,409181900,1563.6011035874235
2022-12,1921503.0,3476818800,1809.4266831745774,141471.4,228830576,1617.5041457142574,346444.0,528105900,1524.3615129717934,181150.0,321325900,1773.8112061827214,222328.0,375602000,1689.4048432945917
2023-01,2154446.0,4550806100,2112.285989066331,134760.0,265423800,1969.6037399821905,266180.0,514747900,1933.8338718160644,192740.0,416109600,2158.9166753138943,152106.0,315054700,2071.2838415315637
2023-02,1958137.0,4084521200,2085.9220779751367,165229.0,330472964,2000.0905652155493,316810.0,630743500,1990.9204254916197,185760.0,403344600,2171.3210594315246,209800.0,409679100,1952.7125834127742
2023-03,2489677.0,4606068950,1850.0668761449779,218955.8,382456805,1746.7306415267374,208920.0,408005000,1952.9245644265748,275800.0,535599600,1941.9854967367658,324520.0,614188200,1892.605078269444
2023-04,2210193.0,4226413250,1912.2371892409396,188942.0,333209432,1763.554064210181,297140.0,556329000,1872.2790603755805,284860.0,590382200,2072.5345783893845,312268.0,583044300,1867.1279157646636
2023-05,2749116.0,4478535700,1629.082112213526,427377.0,620110125,1450.9674713426318,487350.0,757543000,1554.412639786601,415781.0,675259550,1624.0750539346434,403480.0,691948680,1714.9516208981859
2023-06,2211132.0,4329058550,1957.8471796346848,278517.2,494758423,1776.4016836303108,630959.0,1159868000,1838.2620740808832,314540.0,644315600,2048.4377185731546,328060.0,675677540,2059.6157410229835
2023-07,1750361.0,3554709100,2030.843408873941,200205.8,416044955,2078.0864240696324,316680.0,603595000,1906.009220664393,246100.0,496429980,2017.188053636733,268540.0,551369200,2053.2106948685487
2023-08,774227.0,2113928610,2730.373146376967,78685.0,200363600,2546.4014742327,131880.0,335161000,2541.408856536245,77535.0,218046000,2812.226736312633,94800.0,251303000,2650.8755274261603
