Date,서울 총거래물량,서울 총거래금액,서울 평균단가,서울 평균단가 편차,부산 총거래물량,부산 총거래금액,부산 평균단가,부산 평균단가 편차,대구 총거래물량,대구 총거래금액,대구 평균단가,대구 평균단가 편차,대전 총거래물량,대전 총거래금액,대전 평균단가,대전 평균단가 편차,광주 총거래물량,광주 총거래금액,광주 평균단가,광주 평균단가 편차,전국 평균단가
2021-12-01,1899864.0,1702425400,896.0775087058863,130.75951333260593,194269.1,170121318,875.6993160518065,116.900714489513,445187.0,344957000,774.858654902322,187.54494199157807,205580.0,190630200,927.2798910399844,313.36746580818203,130070.0,106653000,819.9661720611978,193.04630402800672,874.7175902803302
2022-01-01,3150421.0,2670707100,847.7302239922855,600.4852522850246,278390.0,237206700,852.0661661697618,491.5741538504326,407755.0,300838200,737.7915660139054,621.7054002101183,277760.0,232891300,838.4623415898618,791.37873574288,240380.0,184481800,767.4590232132457,694.4915483730854,832.6911391951604
2022-02-01,2593928.0,2023824400,780.2161046875626,667.9993715897474,204317.0,177519370,868.8428765105205,474.79744350967394,348980.0,265589000,761.0436128144879,598.4533534095358,262210.0,210279100,801.9492010220815,771.766708748848,173680.0,136698500,787.0710502072777,674.8795213790534,785.3251626029307
2022-03-01,2439930.0,2270229000,930.4484145036948,517.7670617736152,168409.0,162704184,966.1252308368316,377.51508918336276,327220.0,273427000,835.6060143023043,523.8909519217194,234760.0,236798740,1008.6843584937808,721.9405068653252,251100.0,210144900,836.8972520908005,625.0533194955306,921.6362637841199
2022-04-01,2151608.0,2914561800,1354.5970269677375,93.6184493095725,145000.4,188674386,1301.1990725542826,42.44124746591183,497520.0,588200300,1182.2646325775847,177.23233364643897,194680.0,278681200,1431.4834600369838,278.80274985375945,214230.0,274221900,1280.0350091023663,181.91556248396478,1325.0979401308457
2022-05-01,2479514.0,3285554850,1325.0801770024286,123.13529927488139,275161.6,342969652,1246.4299233613997,97.2103966587947,595979.0,784233400,1315.8742170445605,43.6227491794632,285016.0,419615880,1472.253768209504,57.28592696327496,223800.0,336047300,1501.5518319928508,-39.601260406519714,1339.152857389301
2022-06-01,2166804.0,3075680400,1419.454828401646,28.760647875664063,312028.2,404063895,1294.9595421183085,48.680777901885904,406975.0,594611700,1461.052153080656,-101.55518685663219,247680.0,386329700,1559.7936854005168,5.350757893015725,206940.0,321478600,1553.48700106311,-91.53642947677895,1431.6026090914359
2022-07-01,1795974.0,2743532950,1527.601708042544,-79.38623176523402,142545.0,214280999,1503.2515977410642,-159.6112777208698,343965.0,525799500,1528.6424490863897,-169.14548286236595,251120.0,417340800,1661.917808219178,-71.13902201958354,195960.0,319410250,1629.9767809757093,-168.0262093893782,1546.1679956945504
2022-08-01,2049340.0,3697632900,1804.304263811764,-356.088787534454,135468.6,225862970,1667.271751535042,-323.6314315148477,327840.0,540369600,1648.272327964861,-288.7753617408373,257100.0,505498200,1966.1540256709447,-341.74573844856354,111740.0,212371200,1900.5834974046893,-438.6329258183582,1798.284008480894
2022-09-01,2064535.0,5198973400,2518.2297224314434,-1070.0142461541334,131040.3,297244825,2268.346646031793,-924.7063260115988,310225.0,681133500,2195.6112498992666,-836.1142836752429,240977.0,637362800,2644.9113400863985,-1132.4985900433373,130430.0,351031000,2691.336348999463,-1229.385777413132,2490.5211122604896
